ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
90	9527	1	1	0.000000	12.535636	12.535636	0.000000	0.000000	0	327	0
91	11	1	2	0.000000	24.636364	24.636364	0.000000	0.000000	0	14	0
92	153	2	1	0.000000	26.450980	23.869281	0.000000	0.000000	0	29	0
93	3405	1	1	0.000000	12.585609	12.585609	0.000000	0.000000	0	122	0
94	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	12	0
95	3911	1	1	0.000000	12.519560	12.519560	0.000000	0.000000	0	139	0
96	16299	1	1	0.000000	12.555924	12.555924	0.000000	0.000000	0	561	0
97	8	2	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	9	0
98	3182	1	1	0.000000	12.491515	12.491515	0.000000	0.000000	0	113	0
99	26732	1	1	0.000000	12.570141	12.570141	0.000000	0.000000	0	917	0
100	5	2	2	0.000000	26.600000	26.600000	0.000000	0.000000	0	7	0
101	6022	1	1	0.000000	12.620226	12.620226	0.000000	0.000000	0	212	0
102	1100	1	1	0.000000	12.602727	12.602727	0.000000	0.000000	0	40	0
103	13120	1	1	0.000000	12.553506	12.553506	0.000000	0.000000	0	454	0
104	69	1	2	0.000000	73.057971	32.550725	0.000000	0.000000	0	21	0
105	1	1	3	0.000000	101.000000	101.000000	0.000000	0.000000	0	30	0
106	1	3	1	0.000000	415.000000	142.000000	0.000000	0.000000	0	74	0
107	1	3	1	0.000000	101.000000	73.000000	0.000000	0.000000	0	33	0
108	34	1	1	0.000000	60.735294	40.205882	0.000000	0.000000	0	16	0
109	6713	1	1	0.000000	12.532698	12.532698	0.000000	0.000000	0	233	0
110	2	3	2	0.000000	35.000000	35.000000	0.000000	0.000000	0	15	0
111	5128	1	1	0.000000	12.558307	12.558307	0.000000	0.000000	0	183	0
112	23304	1	1	0.000000	12.597065	12.597065	0.000000	0.000000	0	800	0
113	1	1	2	0.000000	115.000000	28.000000	0.000000	0.000000	0	43	0
114	1	1	3	0.000000	135.000000	48.000000	0.000000	0.000000	0	50	0
115	1	1	3	0.000000	161.000000	74.000000	0.000000	0.000000	0	58	0
116	6	2	2	0.000000	170.833333	93.500000	0.000000	0.000000	0	62	0
117	1	2	1	0.000000	156.000000	82.000000	0.000000	0.000000	0	53	0
118	1	2	1	0.000000	142.000000	67.000000	0.000000	0.000000	0	48	0
119	1	2	1	0.000000	61.000000	33.000000	0.000000	0.000000	0	25	0
120	36	1	1	0.000000	13.916667	13.916667	0.000000	0.000000	0	5	0
121	1	1	2	0.000000	264.000000	163.000000	0.000000	0.000000	0	87	0
122	1	4	5	0.000000	544.000000	199.000000	0.000000	0.000000	0	225	0
123	1	2	2	0.000000	183.000000	90.000000	0.000000	0.000000	0	105	0
124	1	2	1	0.000000	29.000000	29.000000	0.000000	0.000000	0	15	0
125	6788	1	1	0.000000	12.662640	12.662640	0.000000	0.000000	0	241	0
126	1	1	2	0.000000	32.000000	32.000000	0.000000	0.000000	0	17	0
127	1	1	4	0.000000	201.000000	165.000000	0.000000	0.000000	0	95	0
128	79	1	1	0.000000	11.607595	11.607595	0.000000	0.000000	0	7	0
129	10319	1	1	0.000000	12.563814	12.563814	0.000000	0.000000	0	356	0
130	94	2	2	0.000000	22.138298	14.446809	0.000000	0.000000	0	12	0
131	101	1	1	0.000000	9.534653	9.534653	0.000000	0.000000	0	7	0
132	73032	1	1	0.000000	12.587291	12.587291	0.000000	0.000000	0	2513	0
133	12801	1	1	0.000000	12.520819	12.520819	0.000000	0.000000	0	446	0
134	1	3	2	0.000000	64.000000	64.000000	0.000000	0.000000	0	32	0
135	3	2	2	0.000000	38.000000	38.000000	0.000000	0.000000	0	23	0
136	1	1	1	0.000000	23.000000	23.000000	0.000000	0.000000	0	11	0
137	2	3	2	0.000000	125.500000	125.500000	0.000000	0.000000	0	63	0
138	1	3	1	0.000000	78.000000	78.000000	0.000000	0.000000	0	35	0
139	1	2	1	0.000000	25.000000	25.000000	0.000000	0.000000	0	11	0
140	27038	1	1	0.000000	12.566869	12.563207	0.000000	0.000000	0	931	0
141	238	2	2	0.000000	22.558824	15.739496	0.000000	0.000000	0	46	0
142	859	1	1	0.000000	13.589057	13.589057	0.000000	0.000000	0	36	0
143	13	2	2	0.000000	23.615385	23.615385	0.000000	0.000000	0	17	0
144	106	1	1	0.000000	12.877358	12.877358	0.000000	0.000000	0	8	0
145	45	2	2	0.000000	25.155556	25.155556	0.000000	0.000000	0	16	0
146	39312	1	1	0.000000	12.565196	12.565196	0.000000	0.000000	0	1354	0
147	3	2	1	0.000000	20.333333	20.333333	0.000000	0.000000	0	11	0
148	2859	1	1	0.000000	12.447359	12.447359	0.000000	0.000000	0	99	0
149	1315	2	3	0.000000	37.303422	37.303422	0.000000	0.000000	0	146	0
150	1	2	1	0.000000	24.000000	24.000000	0.000000	0.000000	0	7	0
151	2447	1	1	0.000000	12.807519	12.807519	0.000000	0.000000	0	91	0
152	51	2	2	0.000000	19.921569	19.921569	0.000000	0.000000	0	8	0
153	2729	1	1	0.000000	12.715647	12.715647	0.000000	0.000000	0	96	0
154	46	2	3	0.000000	60.478261	60.478261	0.000000	0.000000	0	26	0
155	69	1	1	0.000000	11.666667	11.666667	0.000000	0.000000	0	4	0
156	5	1	2	0.000000	27.400000	27.400000	0.000000	0.000000	0	9	0
157	2	2	1	0.000000	54.500000	54.500000	0.000000	0.000000	0	18	0
158	68	1	1	0.000000	13.352941	13.352941	0.000000	0.000000	0	6	0
159	46	2	3	0.000000	75.891304	75.891304	0.000000	0.000000	0	35	0
160	2	2	1	0.000000	49.000000	49.000000	0.000000	0.000000	0	14	0
161	10	1	1	0.000000	26.800000	26.800000	0.000000	0.000000	0	9	0
162	24	2	2	0.000000	51.583333	48.666667	0.000000	0.000000	0	20	0
163	7	2	2	0.000000	50.714286	50.714286	0.000000	0.000000	0	16	0
164	2	2	1	0.000000	36.000000	36.000000	0.000000	0.000000	0	12	0
165	10	1	1	0.000000	25.500000	25.500000	0.000000	0.000000	0	10	0
166	7	2	1	0.000000	41.857143	27.714286	0.000000	0.000000	0	14	0
167	17019	1	1	0.000000	12.529467	12.529467	0.000000	0.000000	0	589	0
168	1	2	1	0.000000	129.000000	129.000000	0.000000	0.000000	0	63	0
169	1	2	1	0.000000	120.000000	120.000000	0.000000	0.000000	0	57	0
170	2	2	2	0.000000	118.500000	118.500000	0.000000	0.000000	0	58	0
171	2	2	1	0.000000	103.500000	103.500000	0.000000	0.000000	0	53	0
172	1	2	1	0.000000	94.000000	94.000000	0.000000	0.000000	0	48	0
173	5	2	1	0.000000	82.200000	82.200000	0.000000	0.000000	0	48	0
174	1	2	1	0.000000	53.000000	53.000000	0.000000	0.000000	0	30	0
175	2	2	1	0.000000	44.500000	44.500000	0.000000	0.000000	0	26	0
176	1	2	1	0.000000	39.000000	39.000000	0.000000	0.000000	0	21	0
177	7	2	1	0.000000	27.857143	27.857143	0.000000	0.000000	0	12	0
178	977	1	1	0.000000	12.183214	12.183214	0.000000	0.000000	0	40	0
179	2	1	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	10	0
180	1	2	4	0.000000	369.000000	79.000000	0.000000	0.000000	0	122	0
181	1	3	4	0.000000	462.000000	103.000000	0.000000	0.000000	0	170	0
182	9839	1	1	0.000000	12.595081	12.595081	0.000000	0.000000	0	335	0
183	11442	1	1	0.000000	12.274777	12.274777	0.000000	0.000000	0	368	0
184	12	2	2	0.000000	19.916667	19.916667	0.000000	0.000000	0	4	0
185	7122	1	1	0.000000	11.867313	11.867313	0.000000	0.000000	0	195	0
186	5	2	2	0.000000	32.200000	32.200000	0.000000	0.000000	0	14	0
187	11	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	6	0
188	16	2	2	0.000000	32.437500	21.750000	0.000000	0.000000	0	15	0
189	25	2	1	0.000000	24.920000	14.120000	0.000000	0.000000	0	16	0
190	10	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	4	0
191	17	2	2	0.000000	24.470588	24.470588	0.000000	0.000000	0	14	0
192	3	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	5	0
193	24708	1	1	0.000000	12.582079	12.582079	0.000000	0.000000	0	848	0
194	4699	1	1	0.000000	12.458395	12.458395	0.000000	0.000000	0	166	0
195	1	1	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	11	0
196	1	2	2	0.000000	41.000000	41.000000	0.000000	0.000000	0	16	0
197	55785	1	1	0.000000	12.536040	12.536040	0.000000	0.000000	0	1916	0
198	318	1	1	0.000000	12.603774	12.603774	0.000000	0.000000	0	15	0
199	1169	1	1	0.000000	12.799829	12.799829	0.000000	0.000000	0	47	0
200	1	1	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	16	0
201	1	1	2	0.000000	145.000000	41.000000	0.000000	0.000000	0	30	0
202	1	1	3	0.000000	174.000000	70.000000	0.000000	0.000000	0	38	0
203	2	1	2	0.000000	206.000000	64.000000	0.000000	0.000000	0	54	0
204	1	2	1	0.000000	48.000000	48.000000	0.000000	0.000000	0	33	0
205	7312	1	1	0.000000	12.569612	12.569612	0.000000	0.000000	0	252	0
206	5	3	2	0.000000	118.000000	41.200000	0.000000	0.000000	0	14	0
207	14	1	1	0.000000	27.785714	27.785714	0.000000	0.000000	0	8	0
208	1	1	2	0.000000	42.000000	42.000000	0.000000	0.000000	0	16	0
